# Branch prune — 2026-05-17
# Total to delete: 162
# Batch size: 10
# Pause between batches: 1s
# Started: 2026-05-17T09:48:55Z
#
# Format: <timestamp> | <branch> | <http_status> | <message>
2026-05-17T09:50:27Z | feat/resource-allocation | 204 | deleted
2026-05-17T09:50:28Z | feat/safety-forms | 204 | deleted
2026-05-17T09:50:29Z | feat/scope-b1-8-ui-polish | 204 | deleted
2026-05-17T09:50:30Z | feat/scope-card-discipline-authoritative | 204 | deleted
2026-05-17T09:50:30Z | feat/scope-card-numbering-backend | 204 | deleted
2026-05-17T09:50:31Z | feat/scope-card-schema-foundation | 204 | deleted
2026-05-17T09:50:32Z | feat/scope-cards-frontend | 204 | deleted
2026-05-17T09:50:34Z | feat/scope-item-dimensions-b4a | 204 | deleted
2026-05-17T09:50:35Z | feat/scope-item-line-total-b1-7-1 | 204 | deleted
2026-05-17T09:50:35Z | feat/scope-items-collapse-notes-b1-7 | 204 | deleted
2026-05-17T09:50:36Z | feat/scope-markup-picker-b2 | 204 | deleted
2026-05-17T09:50:37Z | feat/scope-of-works-tab | 204 | deleted
2026-05-17T09:50:38Z | feat/scope-quantities-sheet | 204 | deleted
2026-05-17T09:50:39Z | feat/scope-quote-lists | 204 | deleted
2026-05-17T09:50:39Z | feat/scope-redesign | 204 | deleted
2026-05-17T09:50:40Z | feat/scope-row-pills-multi-plant | 204 | deleted
2026-05-17T09:50:41Z | feat/scope-tools-proposal-cards | 204 | deleted
2026-05-17T09:50:43Z | feat/scope-ux-completion | 204 | deleted
2026-05-17T09:50:44Z | feat/scope-waste-summary-b3 | 204 | deleted
2026-05-17T09:50:44Z | feat/scope-works-redesign | 204 | deleted
2026-05-17T09:50:45Z | feat/sharepoint-live | 204 | deleted
2026-05-17T09:50:46Z | feat/sharepoint-mock-local-persistence | 204 | deleted
2026-05-17T09:50:47Z | feat/sites-detail | 204 | deleted
2026-05-17T09:50:48Z | feat/tender-context-system-prompt | 204 | deleted
2026-05-17T09:50:49Z | feat/tender-register-improvements | 204 | deleted
2026-05-17T09:50:49Z | feat/tendering-assistant-drawing-tools | 204 | deleted
2026-05-17T09:50:50Z | feat/tendering-presentation-polish | 204 | deleted
2026-05-17T09:50:52Z | feat/timesheet-approval | 204 | deleted
2026-05-17T09:50:53Z | feat/worker-availability | 204 | deleted
2026-05-17T09:50:54Z | feat/xero-integration | 204 | deleted
2026-05-17T09:50:56Z | fix/ai-provider-system-default-fallback | 204 | deleted
2026-05-17T09:50:56Z | fix/audit-4-criticals | 204 | deleted
2026-05-17T09:50:57Z | fix/audit-findings | 204 | deleted
2026-05-17T09:50:58Z | fix/availability-actor-scope | 204 | deleted
2026-05-17T09:50:59Z | fix/b4b1-cutting-cardid-hotfix | 204 | deleted
2026-05-17T09:51:00Z | fix/b-followup-orphan-cardid-guards | 204 | deleted
2026-05-17T09:51:00Z | fix/brand-tokens | 204 | deleted
2026-05-17T09:51:02Z | fix/client-card-ui | 204 | deleted
2026-05-17T09:51:03Z | fix/dashboard-canvas-dnd | 204 | deleted
2026-05-17T09:51:04Z | fix/dashboard-polish | 204 | deleted
2026-05-17T09:51:05Z | fix/dependabot-alerts | 204 | deleted
2026-05-17T09:51:06Z | fix/deploy-add-prisma-generate | 204 | deleted
2026-05-17T09:51:07Z | fix/directory-permissions-ia | 204 | deleted
2026-05-17T09:51:08Z | fix/drawing-tools-sub-mode-binding | 204 | deleted
2026-05-17T09:51:08Z | fix/image-content-current-turn-and-seed-size-bytes | 204 | deleted
2026-05-17T09:51:09Z | fix/list-tender-drawings-mime-type-filter | 204 | deleted
2026-05-17T09:51:10Z | fix/model-defaults-and-chat-panel-empty-state | 204 | deleted
2026-05-17T09:51:12Z | fix/nav-dashboards-group | 204 | deleted
2026-05-17T09:51:13Z | fix/pdf-layout | 204 | deleted
2026-05-17T09:51:13Z | fix/pdfjs-disable-eval | 204 | deleted
2026-05-17T09:51:14Z | fix/persona-chat-retry-empty-message | 204 | deleted
2026-05-17T09:51:15Z | fix/persona-matcher-longest-prefix | 204 | deleted
2026-05-17T09:51:16Z | fix/persona-permission-and-partial-update | 204 | deleted
2026-05-17T09:51:17Z | fix/persona-window-click-handlers-b1-8-1 | 204 | deleted
2026-05-17T09:51:17Z | fix/persona-window-cog-link-and-tender-dashboard-exclusion | 204 | deleted
2026-05-17T09:51:18Z | fix/pipeline-status-fix | 204 | deleted
2026-05-17T09:51:19Z | fix/portal-auth-security | 204 | deleted
2026-05-17T09:51:21Z | fix/provisional-sum-pricing | 204 | deleted
2026-05-17T09:51:22Z | fix/pwa-tech-debt | 204 | deleted
2026-05-17T09:51:22Z | fix/quote-scope-fixes | 204 | deleted
2026-05-17T09:51:23Z | fix/remove-duplicate-platform-dashboard | 204 | deleted
2026-05-17T09:51:24Z | fix/scope-dimensions-derivation-b4a-5 | 204 | deleted
2026-05-17T09:51:25Z | fix/scope-dimensions-overflow-b4a-6 | 204 | deleted
2026-05-17T09:51:25Z | fix/scope-item-dimensions-type-guard-b4a-1 | 204 | deleted
2026-05-17T09:51:26Z | fix/scope-item-totals-b1-7-2 | 204 | deleted
2026-05-17T09:51:27Z | fix/scope-markup-picker-b2-1 | 204 | deleted
2026-05-17T09:51:28Z | fix/scope-system-prompt | 204 | deleted
2026-05-17T09:51:30Z | fix/scope-waste-discipline-validator | 204 | deleted
2026-05-17T09:51:31Z | fix/seed-staff | 204 | deleted
2026-05-17T09:51:31Z | fix/sse-error-sanitisation-and-codeql-suppression | 204 | deleted
2026-05-17T09:51:32Z | fix/submode-label-split | 204 | deleted
2026-05-17T09:51:33Z | fix/tech-debt-cleanup | 204 | deleted
2026-05-17T09:51:34Z | fix/tender-dashboard-v2 | 204 | deleted
2026-05-17T09:51:35Z | fix/tendering-dashboard-cleanup | 204 | deleted
2026-05-17T09:51:36Z | fix/tendering-polish | 204 | deleted
2026-05-17T09:51:36Z | fix/ui-glitches-chat1 | 204 | deleted
2026-05-17T09:51:37Z | fix/ui-quick-fixes | 204 | deleted
2026-05-17T09:51:39Z | fix/ux-quick-fixes | 204 | deleted
2026-05-17T09:51:40Z | fix/xero-error-sanitisation | 204 | deleted
# ---
# Finished: 2026-05-17T09:51:41Z
# Succeeded (204): 162
# Already gone (422): 0
# Failed: 0
# Duration: 149s
# FINAL STATE: 1 branch remains on GitHub
# Survivors: main
